stop_id,stop_name,stop_code,stop_lat,stop_lon,zone_id
KokusaiKogyoBus.Rikkyoudaigaku.75.1,立教大学,1,35.7288778474922,139.702263165315,KokusaiKogyoBus.Rikkyoudaigaku.75.1
KokusaiKogyoBus.DewaHori.1434.1,出羽堀,1,35.87244787724,139.784327198052,KokusaiKogyoBus.DewaHori.1434.1
TokyuBus.Higashiyamataeki.00241038.,東山田駅,,35.554997,139.602252,TokyuBus.Higashiyamataeki.00241038.
TokyuBus.Shimoumaitchoume.00240026.1,下馬一丁目,1,35.640182,139.682064,TokyuBus.Shimoumaitchoume.00240026.1
TokyuBus.Shimoumaeigyousho.00240027.,下馬営業所,,35.637667,139.682481,TokyuBus.Shimoumaeigyousho.00240027.
TokyuBus.Nakameguroeki.00240097.4,中目黒駅,4,35.643905,139.699352,TokyuBus.Nakameguroeki.00240097.4
Toei.ShinYotsugibashi.2237.2,新四ツ木橋,2,35.728856,139.826908,Toei.ShinYotsugibashi.2237.2
KokusaiKogyoBus.GoSaRo.720.3,五差路,3,35.8102589897184,139.67415787638,KokusaiKogyoBus.GoSaRo.720.3
KantoBus.Nishikoukouminami.30017.1,西高校南（すぎ丸）,1,35.69032325900125,139.60360238884175,KantoBus.Nishikoukouminami.30017.1
KantoBus.Tensojinjamae.30047.2,天祖神社前（すぎ丸）,2,35.70127376473456,139.60862756447094,KantoBus.Tensojinjamae.30047.2
TokyuBus.Senzokuike.00240597.,洗足池,,35.600011,139.690663,TokyuBus.Senzokuike.00240597.
TokyuBus.Megurofudouson.00240463.,目黒不動尊,,35.627572,139.708046,TokyuBus.Megurofudouson.00240463.
TokyuBus.Rinshinomoriiriguchi.00240462.,林試の森入口,,35.626915,139.706994,TokyuBus.Rinshinomoriiriguchi.00240462.
TokyuBus.Iriyabashi.00240461.,入谷橋,,35.626963,139.704174,TokyuBus.Iriyabashi.00240461.
TokyuBus.Takatsukoukoumae.00240683.,高津高校前,,35.595985,139.615213,TokyuBus.Takatsukoukoumae.00240683.
TokyuBus.Wakabayashiorikaeshijo.00240022.,若林折返所,,35.650163,139.662956,TokyuBus.Wakabayashiorikaeshijo.00240022.
TokyuBus.Awashima.00240018.,淡島,,35.654366,139.67302,TokyuBus.Awashima.00240018.
TokyuBus.Senzokueki.00240453.,洗足駅,,35.610213,139.694325,TokyuBus.Senzokueki.00240453.
TokyuBus.Toukyougakuenkoukoudoori.00240460.,東京学園高校通り,,35.628089,139.702577,TokyuBus.Toukyougakuenkoukoudoori.00240460.
TokyuBus.Shimomegurogochoume.00240459.,下目黒五丁目,,35.629971,139.702038,TokyuBus.Shimomegurogochoume.00240459.
TokyuBus.Miyamaeyuubinkyokumae.00240699.2,宮前郵便局前,2,35.575747,139.576773,TokyuBus.Miyamaeyuubinkyokumae.00240699.2
TokyuBus.Midorikenzeijimusho.00241040.1,緑県税事務所,1,35.550522,139.538597,TokyuBus.Midorikenzeijimusho.00241040.1
TokyuBus.Hiratsusansaro.00241237.1,平津三叉路,1,35.586702,139.546408,TokyuBus.Hiratsusansaro.00241237.1
TokyuBus.Touyokosenkosugieki.00240795.,東横線小杉駅,,35.573564,139.658275,TokyuBus.Touyokosenkosugieki.00240795.
TokyuBus.Motosumiyoshiekiiriguchi.00240818.,元住吉駅入口,,35.564102,139.655915,TokyuBus.Motosumiyoshiekiiriguchi.00240818.
TokyuBus.Tsunashimaekiiriguchi.00240929.,綱島駅入口,,35.537607,139.636537,TokyuBus.Tsunashimaekiiriguchi.00240929.
KokusaiKogyoBus.Midorigaoka.222.2,緑ヶ丘,2,35.7921977477234,139.588639616902,KokusaiKogyoBus.Midorigaoka.222.2
KokusaiKogyoBus.HikarigaokaEki.121.2,光が丘駅,2,35.7589376301933,139.630038265952,KokusaiKogyoBus.HikarigaokaEki.121.2
KokusaiKogyoBus.JieitaiMinami.122.2,自衛隊南,2,35.7592280905631,139.65909394603,KokusaiKogyoBus.JieitaiMinami.122.2
KokusaiKogyoBus.HeiwaDaiYonChoume.123.1,平和台四丁目,1,35.7570061102239,139.658785902219,KokusaiKogyoBus.HeiwaDaiYonChoume.123.1
KokusaiKogyoBus.HikarigaokaEki.121.12,光が丘駅,12,35.7589777722825,139.630002460082,KokusaiKogyoBus.HikarigaokaEki.121.12
KokusaiKogyoBus.HeiwaDaiSanChoume.124.2,平和台三丁目,2,35.7572644262409,139.662458539975,KokusaiKogyoBus.HeiwaDaiSanChoume.124.2
KokusaiKogyoBus.HikawadaiYonChoume.125.1,氷川台四丁目,1,35.7562337748992,139.664269408738,KokusaiKogyoBus.HikawadaiYonChoume.125.1
KokusaiKogyoBus.HikawadaiYonChoume.125.2,氷川台四丁目,2,35.7563856629505,139.664099061165,KokusaiKogyoBus.HikawadaiYonChoume.125.2
TokyuBus.Ookurayamaekiiriguchi.00241039.,大倉山駅入口,,35.520762,139.632898,TokyuBus.Ookurayamaekiiriguchi.00241039.
TokyuBus.Nakamachidaieki.00240960.,仲町台駅,,35.535094,139.58887,TokyuBus.Nakamachidaieki.00240960.
TokyuBus.Ikejiri.00240054.C,池尻,C,35.650183,139.683268,TokyuBus.Ikejiri.00240054.C
TokyuBus.Shibuyaeki.00240143.91,渋谷駅（マークシティ）,91,35.658419,139.69878,TokyuBus.Shibuyaeki.00240143.91
TokyuBus.Aobakusougouchousha.00241041.1,青葉区総合庁舎,1,35.552582,139.536833,TokyuBus.Aobakusougouchousha.00241041.1
TokyuBus.Gotenbapuremiamuautoretto.00241390.,御殿場プレミアムアウトレット,,35.307443,138.96218,TokyuBus.Gotenbapuremiamuautoretto.00241390.
TokyuBus.NakazatogakuenIriguchi.00241046.2,中里学園入口,2,35.561942,139.524507,TokyuBus.NakazatogakuenIriguchi.00241046.2
TokyuBus.Yoshidabashi.00240951.1,吉田橋,1,35.540935,139.627961,TokyuBus.Yoshidabashi.00240951.1
TokyuBus.TouingakuenIriguchi.00241047.3,桐蔭学園入口,3,35.563514,139.519669,TokyuBus.TouingakuenIriguchi.00241047.3
TokyuBus.Komadome.00240362.,駒留,,35.639234,139.66043,TokyuBus.Komadome.00240362.
TokyuBus.Wakabayashikouban.00240363.,若林交番,,35.641603,139.661195,TokyuBus.Wakabayashikouban.00240363.
TokyuBus.Shimohirama.00240803.,下平間,,35.552155,139.680594,TokyuBus.Shimohirama.00240803.
TokyuBus.Kamoshidadanchi.00241150.,鴨志田団地,,35.565365,139.503927,TokyuBus.Kamoshidadanchi.00241150.
TokyuBus.Fujisangogoume.00241393.,富士山五合目,,35.394192,138.732476,TokyuBus.Fujisangogoume.00241393.
TokyuBus.Megurochuuouchuugakkou.00240260.,目黒中央中学校,,35.634877,139.692769,TokyuBus.Megurochuuouchuugakkou.00240260.
TokyuBus.Shimoumaitchoume.00240026.2,下馬一丁目,2,35.640182,139.682064,TokyuBus.Shimoumaitchoume.00240026.2
TokyuBus.Ootorijinjamae.00240482.1,大鳥神社前,1,35.633061,139.707944,TokyuBus.Ootorijinjamae.00240482.1
NishiTokyoBus.Kawaino.1270.1,川井野,1,35.6682500819946,139.202659373135,NishiTokyoBus.Kawaino.1270.1
KantoBus.Tanashieki.10114.1,田無駅：西武,1,35.727919329785415,139.54023388383752,KantoBus.Tanashieki.10114.1
NishiTokyoBus.Omatsuri.6810.10,お祭,10,35.7859386461962,138.966473568976,NishiTokyoBus.Omatsuri.6810.10
NishiTokyoBus.Oshigaito.6870.10,押垣外,10,35.7880691389701,138.928217203586,NishiTokyoBus.Oshigaito.6870.10
KokusaiKogyoBus.KenchouUra.1618.1,県庁裏,1,35.8572538366897,139.647185607383,KokusaiKogyoBus.KenchouUra.1618.1
KokusaiKogyoBus.SuidouTankuMae.28.1,水道タンク前,1,35.7455553377879,139.690324485769,KokusaiKogyoBus.SuidouTankuMae.28.1
KokusaiKogyoBus.KamitakadaShougakkou.46.1,上高田小学校,1,35.7174872721864,139.67253307485,KokusaiKogyoBus.KamitakadaShougakkou.46.1
KokusaiKogyoBus.AraiKusushiGuchi.49.1,新井薬師口,1,35.7148355965278,139.670136466757,KokusaiKogyoBus.AraiKusushiGuchi.49.1
KokusaiKogyoBus.MinaminagasakiSanChoume.65.2,南長崎三丁目,2,35.7229069569831,139.68642490651,KokusaiKogyoBus.MinaminagasakiSanChoume.65.2
KokusaiKogyoBus.Miyawaki.916.10,宮脇,10,35.8292155593837,139.768560982136,KokusaiKogyoBus.Miyawaki.916.10
NishiTokyoBus.Ozakudai2Chome.8569.27,小作台二丁目,27,35.7806408436987,139.298379859518,NishiTokyoBus.Ozakudai2Chome.8569.27
KokusaiKogyoBus.ChihayaKoukou.32.2,千早高校,2,35.7362311393377,139.684329277454,KokusaiKogyoBus.ChihayaKoukou.32.2
KokusaiKogyoBus.ShidanZakaDoori.624.2,師団坂通り,2,35.783847051477,139.715179767901,KokusaiKogyoBus.ShidanZakaDoori.624.2
NishiTokyoBus.SakaeESIriguchi.8555.27,栄小学校入口（はむらん）,27,35.7710726489719,139.311335335273,NishiTokyoBus.SakaeESIriguchi.8555.27
NishiTokyoBus.HamuraCityWelfareCenter.8570.27,羽村市福祉センター,27,35.7702463779794,139.313025232975,NishiTokyoBus.HamuraCityWelfareCenter.8570.27
KokusaiKogyoBus.IkebukuroEkiNishiguchi.1.6,池袋駅西口,6,35.7304652909138,139.708423602821,KokusaiKogyoBus.IkebukuroEkiNishiguchi.1.6
KokusaiKogyoBus.NishiTakashimadairaEki.338.2,西高島平駅,2,35.7918846249485,139.644996601379,KokusaiKogyoBus.NishiTakashimadairaEki.338.2
KokusaiKogyoBus.MinamiYamanashi.936.10,南山梨,10,35.8245428995537,139.77627861594,KokusaiKogyoBus.MinamiYamanashi.936.10
KokusaiKogyoBus.AkaiDai.1103.2,赤井台,2,35.8304411589318,139.754060210279,KokusaiKogyoBus.AkaiDai.1103.2
KokusaiKogyoBus.SanshainshithiMinami.72.1,サンシャインシティ南,1,35.7279463749104,139.720779427173,KokusaiKogyoBus.SanshainshithiMinami.72.1
NishiTokyoBus.HamuraHealthCenter.8529.27,保健センター,27,35.7692489659998,139.311956756528,NishiTokyoBus.HamuraHealthCenter.8529.27
KokusaiKogyoBus.HizaoriSakashita.219.1,膝折坂下,1,35.7920728399213,139.583458855869,KokusaiKogyoBus.HizaoriSakashita.219.1
KokusaiKogyoBus.SuehiroKousaten.1035.11,末広交差点,11,35.8065500424957,139.732612263481,KokusaiKogyoBus.SuehiroKousaten.1035.11
NishiTokyoBus.MiyamaES.1600.10,美山小学校,10,35.6900843826699,139.248616773239,NishiTokyoBus.MiyamaES.1600.10
NishiTokyoBus.ZempukuJiTempleIriguchi.8518.1,褝福寺入口,1,35.7592080027542,139.306644604495,NishiTokyoBus.ZempukuJiTempleIriguchi.8518.1
KokusaiKogyoBus.AngyouryoukeMinami.4542.10,安行領家南,10,35.842022011831,139.758734906801,KokusaiKogyoBus.AngyouryoukeMinami.4542.10
NishiTokyoBus.Takenosawa.2740.1,竹の沢,1,35.7386108119367,139.086899913637,NishiTokyoBus.Takenosawa.2740.1
NishiTokyoBus.Minedani.6590.10,峰谷,10,35.7947569359383,139.002073817466,NishiTokyoBus.Minedani.6590.10
