service_id,date,exception_type
TokyoMetro.Chiyoda/Weekday,20190805,1
TokyoMetro.Chiyoda/Weekday,20190806,1
TokyoMetro.Chiyoda/Weekday,20190807,1
TokyoMetro.Chiyoda/Weekday,20190808,1
TokyoMetro.Chiyoda/Weekday,20190809,1
TokyoMetro.Chiyoda/SaturdayHoliday,20190810,1
TokyoMetro.Chiyoda/Weekday,20190812,1
TokyoMetro.Chiyoda/Weekday,20190813,1
TokyoMetro.Chiyoda/Weekday,20190814,1
TokyoMetro.Chiyoda/Weekday,20190815,1
TokyoMetro.Chiyoda/Weekday,20190816,1
TokyoMetro.Chiyoda/SaturdayHoliday,20190817,1
TokyoMetro.Chiyoda/Weekday,20190819,1
TokyoMetro.Chiyoda/Weekday,20190820,1
TokyoMetro.Chiyoda/Weekday,20190821,1
TokyoMetro.Chiyoda/Weekday,20190822,1
TokyoMetro.Chiyoda/Weekday,20190823,1
TokyoMetro.Chiyoda/SaturdayHoliday,20190824,1
TokyoMetro.Chiyoda/Weekday,20190826,1
TokyoMetro.Chiyoda/Weekday,20190827,1
TokyoMetro.Chiyoda/Weekday,20190828,1
TokyoMetro.Chiyoda/Weekday,20190829,1
TokyoMetro.Chiyoda/Weekday,20190830,1
TokyoMetro.Chiyoda/SaturdayHoliday,20190831,1
TokyoMetro.Chiyoda/Weekday,20190902,1
TokyoMetro.Chiyoda/Weekday,20190903,1
TokyoMetro.Chiyoda/Weekday,20190904,1
TokyoMetro.Chiyoda/Weekday,20190905,1
TokyoMetro.Chiyoda/Weekday,20190906,1
TokyoMetro.Chiyoda/SaturdayHoliday,20190907,1
TokyoMetro.Chiyoda/Weekday,20190909,1
TokyoMetro.Chiyoda/Weekday,20190910,1
TokyoMetro.Chiyoda/Weekday,20190911,1
TokyoMetro.Chiyoda/Weekday,20190912,1
TokyoMetro.Chiyoda/Weekday,20190913,1
TokyoMetro.Chiyoda/SaturdayHoliday,20190914,1
TokyoMetro.Chiyoda/Weekday,20190916,1
TokyoMetro.Chiyoda/Weekday,20190917,1
TokyoMetro.Chiyoda/Weekday,20190918,1
TokyoMetro.Chiyoda/Weekday,20190919,1
TokyoMetro.Chiyoda/Weekday,20190920,1
TokyoMetro.Chiyoda/SaturdayHoliday,20190921,1
TokyoMetro.Chiyoda/Weekday,20190923,1
TokyoMetro.Chiyoda/Weekday,20190924,1
TokyoMetro.Chiyoda/Weekday,20190925,1
TokyoMetro.Chiyoda/Weekday,20190926,1
TokyoMetro.Chiyoda/Weekday,20190927,1
TokyoMetro.Chiyoda/SaturdayHoliday,20190928,1
TokyoMetro.Chiyoda/Weekday,20190930,1
TokyoMetro.Chiyoda/Weekday,20191001,1
TokyoMetro.Chiyoda/Weekday,20191002,1
TokyoMetro.Chiyoda/Weekday,20191003,1
TokyoMetro.Chiyoda/Weekday,20191004,1
TokyoMetro.Chiyoda/SaturdayHoliday,20191005,1
TokyoMetro.Chiyoda/Weekday,20191007,1
TokyoMetro.Chiyoda/Weekday,20191008,1
TokyoMetro.Chiyoda/Weekday,20191009,1
TokyoMetro.Chiyoda/Weekday,20191010,1
TokyoMetro.Chiyoda/Weekday,20191011,1
TokyoMetro.Chiyoda/SaturdayHoliday,20191012,1
TokyoMetro.Chiyoda/Weekday,20191014,1
TokyoMetro.Chiyoda/Weekday,20191015,1
TokyoMetro.Chiyoda/Weekday,20191016,1
TokyoMetro.Chiyoda/Weekday,20191017,1
TokyoMetro.Chiyoda/Weekday,20191018,1
TokyoMetro.Chiyoda/SaturdayHoliday,20191019,1
TokyoMetro.Chiyoda/Weekday,20191021,1
TokyoMetro.Chiyoda/Weekday,20191022,1
TokyoMetro.Chiyoda/Weekday,20191023,1
TokyoMetro.Chiyoda/Weekday,20191024,1
TokyoMetro.Chiyoda/Weekday,20191025,1
TokyoMetro.Chiyoda/SaturdayHoliday,20191026,1
TokyoMetro.Chiyoda/Weekday,20191028,1
TokyoMetro.Chiyoda/Weekday,20191029,1
TokyoMetro.Chiyoda/Weekday,20191030,1
TokyoMetro.Chiyoda/Weekday,20191031,1
TokyoMetro.Chiyoda/Weekday,20191101,1
TokyoMetro.Chiyoda/SaturdayHoliday,20191102,1
TokyoMetro.Chiyoda/Weekday,20191104,1
TokyoMetro.Chiyoda/Weekday,20191105,1
TokyoMetro.Chiyoda/Weekday,20191106,1
TokyoMetro.Chiyoda/Weekday,20191107,1
TokyoMetro.Chiyoda/Weekday,20191108,1
TokyoMetro.Chiyoda/SaturdayHoliday,20191109,1
TokyoMetro.Chiyoda/Weekday,20191111,1
TokyoMetro.Chiyoda/Weekday,20191112,1
TokyoMetro.Chiyoda/Weekday,20191113,1
TokyoMetro.Chiyoda/Weekday,20191114,1
TokyoMetro.Chiyoda/Weekday,20191115,1
