stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
TWR.Rinkai.KokusaiTenjijo,R3,国際展示場,35.63457,139.79163,,
Merged.Oimachi,R7/JK19,大井町,35.606995,139.734785,1,
TWR.Rinkai.Oimachi,R7,大井町,35.60741,139.73474,0,Merged.Oimachi
JR-East.KeihinTohokuNegishi.Oimachi,JK19,大井町,35.60658,139.73483,0,Merged.Oimachi
Merged.Osaki,R8/JA08/JS17/JY24,大崎,35.6201475,139.72817,1,
TWR.Rinkai.Osaki,R8,大崎,35.62002,139.7282,0,Merged.Osaki
JR-East.SaikyoKawagoe.Osaki,JA08,大崎,35.62019,139.72816,0,Merged.Osaki
JR-East.ShonanShinjuku.Osaki,JS17,大崎,35.62019,139.72816,0,Merged.Osaki
JR-East.Yamanote.Osaki,JY24,大崎,35.62019,139.72816,0,Merged.Osaki
Merged.ShinKiba,R1/JE05/Y24,新木場,35.64594667,139.82662167,1,
TWR.Rinkai.ShinKiba,R1,新木場,35.64604,139.82678,0,Merged.ShinKiba
JR-East.Keiyo.ShinKiba,JE05,新木場,35.64602,139.82648,0,Merged.ShinKiba
TokyoMetro.Yurakucho.ShinKiba,Y24,新木場,35.64578,139.826605,0,Merged.ShinKiba
TWR.Rinkai.ShinagawaSeaside,R6,品川シーサイド,35.60897,139.74967,,
TWR.Rinkai.Shinonome,R2,東雲,35.6406,139.80328,,
TWR.Rinkai.TennozuIsle,R5,天王洲アイル,35.62038,139.75084,,
TWR.Rinkai.TokyoTeleport,R4,東京テレポート,35.62754,139.77885,,
Merged.Asagaya,JC08/JB05,阿佐ケ谷,35.70462,139.63566,1,
JR-East.ChuoRapid.Asagaya,JC08,阿佐ケ谷,35.70462,139.63566,0,Merged.Asagaya
JR-East.ChuoSobuLocal.Asagaya,JB05,阿佐ケ谷,35.70462,139.63566,0,Merged.Asagaya
Merged.Hachioji,JC22/JH32,八王子,35.65545,139.33903,1,
JR-East.ChuoRapid.Hachioji,JC22,八王子,35.65545,139.33903,0,Merged.Hachioji
JR-East.Hachiko.Hachioji,,八王子,35.65545,139.33903,0,Merged.Hachioji
JR-East.Yokohama.Hachioji,JH32,八王子,35.65545,139.33903,0,Merged.Hachioji
JR-East.ChuoRapid.HigashiKoganei,JC14,東小金井,35.70156,139.52373,,
JR-East.ChuoRapid.Hino,JC20,日野,35.67851,139.39346,,
Merged.Kanda,JC02/JK27/JY02/G13,神田,35.69210625,139.77071,1,
JR-East.ChuoRapid.Kanda,JC02,神田,35.69157,139.77065,0,Merged.Kanda
JR-East.KeihinTohokuNegishi.Kanda,JK27,神田,35.69157,139.77065,0,Merged.Kanda
JR-East.Yamanote.Kanda,JY02,神田,35.69157,139.77065,0,Merged.Kanda
TokyoMetro.Ginza.Kanda,G13,神田,35.693715,139.77089,0,Merged.Kanda
Merged.Kichijoji,JC11/JB02/IN17,吉祥寺,35.70273,139.57999667,1,
JR-East.ChuoRapid.Kichijoji,JC11,吉祥寺,35.70295,139.57984,0,Merged.Kichijoji
JR-East.ChuoSobuLocal.Kichijoji,JB02,吉祥寺,35.70295,139.57984,0,Merged.Kichijoji
Keio.Inokashira.Kichijoji,IN17,吉祥寺,35.70229,139.58031,0,Merged.Kichijoji
Merged.Koenji,JC07/JB06,高円寺,35.70518,139.64955,1,
JR-East.ChuoRapid.Koenji,JC07,高円寺,35.70518,139.64955,0,Merged.Koenji
JR-East.ChuoSobuLocal.Koenji,JB06,高円寺,35.70518,139.64955,0,Merged.Koenji
JR-East.ChuoRapid.Kokubunji,JC16,国分寺,35.6999,139.48096,,
JR-East.ChuoRapid.Kunitachi,JC18,国立,35.69906,139.44651,,
Merged.Mitaka,JC12/JB01,三鷹,35.70268,139.56067,1,
JR-East.ChuoRapid.Mitaka,JC12,三鷹,35.70268,139.56067,0,Merged.Mitaka
JR-East.ChuoSobuLocal.Mitaka,JB01,三鷹,35.70268,139.56067,0,Merged.Mitaka
JR-East.ChuoRapid.MusashiKoganei,JC15,武蔵小金井,35.70101,139.50595,,
JR-East.ChuoRapid.MusashiSakai,JC13,武蔵境,35.70184,139.54345,,
Merged.Nakano,JC06/JB07/T01,中野,35.70573333,139.66582833,1,
JR-East.ChuoRapid.Nakano,JC06,中野,35.70573,139.66594,0,Merged.Nakano
JR-East.ChuoSobuLocal.Nakano,JB07,中野,35.70573,139.66594,0,Merged.Nakano
TokyoMetro.Tozai.Nakano,T01,中野,35.70574,139.665605,0,Merged.Nakano
JR-East.ChuoRapid.NishiHachioji,JC23,西八王子,35.65601,139.31181,,
Merged.NishiKokubunji,JC17/JM33,西国分寺,35.69962,139.46596,1,
JR-East.ChuoRapid.NishiKokubunji,JC17,西国分寺,35.69962,139.46596,0,Merged.NishiKokubunji
JR-East.Musashino.NishiKokubunji,JM33,西国分寺,35.69962,139.46596,0,Merged.NishiKokubunji
Merged.NishiOgikubo,JC10/JB03,西荻窪,35.70351,139.59928,1,
JR-East.ChuoRapid.NishiOgikubo,JC10,西荻窪,35.70351,139.59928,0,Merged.NishiOgikubo
JR-East.ChuoSobuLocal.NishiOgikubo,JB03,西荻窪,35.70351,139.59928,0,Merged.NishiOgikubo
Merged.Ochanomizu,JC03/JB18/M20,御茶ノ水,35.69971,139.76486833,1,
JR-East.ChuoRapid.Ochanomizu,JC03,御茶ノ水,35.69935,139.7651,0,Merged.Ochanomizu
JR-East.ChuoSobuLocal.Ochanomizu,JB18,御茶ノ水,35.69935,139.7651,0,Merged.Ochanomizu
TokyoMetro.Marunouchi.Ochanomizu,M20,御茶ノ水,35.70043,139.764405,0,Merged.Ochanomizu
JR-East.Hachiko.Myokaku,,明覚,36.00347,139.28929,,
Merged.Ogikubo,JC09/JB04/M01,荻窪,35.704285,139.61999333,1,
JR-East.ChuoRapid.Ogikubo,JC09,荻窪,35.70434,139.62011,0,Merged.Ogikubo
JR-East.ChuoSobuLocal.Ogikubo,JB04,荻窪,35.70434,139.62011,0,Merged.Ogikubo
