trans_id,lang,translation
東京メトロ,ja,東京メトロ
東京メトロ,en,Tokyo Metro
東京都交通局,ja,東京都交通局
東京都交通局,en,Tokyo Metropolitan Bureau of Transportation
JR-東日本,ja,JR-東日本
JR-東日本,en,JR-East
京王電鉄,ja,京王電鉄
京王電鉄,en,Keiō Corporation
東京臨海高速鉄道,ja,東京臨海高速鉄道
東京臨海高速鉄道,en,Tokyo Waterfront Area Rapid Transit
大師前,ja,大師前
大師前,en,Daishimae
西新井,ja,西新井
西新井,en,Nishiarai
八千代緑が丘,ja,八千代緑が丘
八千代緑が丘,en,Yachiyo-Midorigaoka
修善寺,ja,修善寺
修善寺,en,Shuzenji
伊豆急下田,ja,伊豆急下田
伊豆急下田,en,Izukyu-Shimoda
新柴又,ja,新柴又
新柴又,en,Shin-Shibamata
元町・中華街,ja,元町・中華街
元町・中華街,en,Motomachi-Chukagai
箱根湯本,ja,箱根湯本
箱根湯本,en,Hakone-Yumoto
御殿場,ja,御殿場
御殿場,en,Gotemba
会津高原尾瀬口,ja,会津高原尾瀬口
会津高原尾瀬口,en,Aizukogen-Ozeguchi
県,ja,県
県,en,Agata
十日町,ja,十日町
十日町,en,Tokamachi
足利市,ja,足利市
足利市,en,Ashikagashi
千葉中央,ja,千葉中央
千葉中央,en,Chiba-Chuo
京成千葉,ja,京成千葉
京成千葉,en,Keisei-Chiba
京成稲毛,ja,京成稲毛
京成稲毛,en,Keisei-Inage
西登戸,ja,西登戸
西登戸,en,Nishi-Nobuto
京成幕張本郷,ja,京成幕張本郷
京成幕張本郷,en,Keisei-Makuharihongo
鳩ヶ谷,ja,鳩ヶ谷
鳩ヶ谷,en,Hatogaya
京成幕張,ja,京成幕張
京成幕張,en,Keisei-Makuhari
出雲市,ja,出雲市
出雲市,en,Izumoshi
京成津田沼,ja,京成津田沼
京成津田沼,en,Keisei-Tsudanuma
検見川,ja,検見川
検見川,en,Kemigawa
みどり台,ja,みどり台
みどり台,en,Midoridai
会津田島,ja,会津田島
会津田島,en,Aizu-Tajima
新千葉,ja,新千葉
新千葉,en,Shin-Chiba
千葉寺,ja,千葉寺
千葉寺,en,Chibadera
ちはら台,ja,ちはら台
ちはら台,en,Chiharadai
学園前,ja,学園前
学園前,en,Gakuemmae
大森台,ja,大森台
大森台,en,Omoridai
おゆみ野,ja,おゆみ野
おゆみ野,en,Oyumino
東成田,ja,東成田
東成田,en,Higashi-Narita
京成成田,ja,京成成田
京成成田,en,Keisei-Narita
京成金町,ja,京成金町
京成金町,en,Keisei-Kanamachi
京成高砂,ja,京成高砂
京成高砂,en,Keisei-Takasago
柴又,ja,柴又
柴又,en,Shibamata
青砥,ja,青砥
青砥,en,Aoto
大神宮下,ja,大神宮下
大神宮下,en,Daijingushita
江戸川,ja,江戸川
江戸川,en,Edogawa
船橋競馬場,ja,船橋競馬場
船橋競馬場,en,Funabashikeibajo
東中山,ja,東中山
東中山,en,Higashi-Nakayama
堀切菖蒲園,ja,堀切菖蒲園
堀切菖蒲園,en,Horikirishobuen
市川真間,ja,市川真間
市川真間,en,Ichikawamama
海神,ja,海神
海神,en,Kaijin
勝田台,ja,勝田台
勝田台,en,Katsutadai
京成船橋,ja,京成船橋
京成船橋,en,Keisei-Funabashi
京成小岩,ja,京成小岩
京成小岩,en,Keisei-Koiwa
京成中山,ja,京成中山
京成中山,en,Keisei-Nakayama
琴平,ja,琴平
琴平,en,Kotohira
長瀞,ja,長瀞
長瀞,en,Nagatoro
京成西船,ja,京成西船
京成西船,en,Keisei-Nishifuna
三峰口,ja,三峰口
三峰口,en,Mitsumineguchi
京成大久保,ja,京成大久保
京成大久保,en,Keisei-Okubo
京成大和田,ja,京成大和田
京成大和田,en,Keisei-Owada
京成佐倉,ja,京成佐倉
京成佐倉,en,Keisei-Sakura
京成関屋,ja,京成関屋
京成関屋,en,Keisei-Sekiya
京成酒々井,ja,京成酒々井
京成酒々井,en,Keisei-Shisui
伊勢崎,ja,伊勢崎
伊勢崎,en,Isesaki
京成上野,ja,京成上野
京成上野,en,Keisei-Ueno
京成臼井,ja,京成臼井
京成臼井,en,Keisei-Usui
京成八幡,ja,京成八幡
京成八幡,en,Keisei-Yawata
国府台,ja,国府台
国府台,en,Konodai
公津の杜,ja,公津の杜
公津の杜,en,Kozunomori
東葉勝田台,ja,東葉勝田台
東葉勝田台,en,Toyo-Katsutadai
町屋,ja,町屋
町屋,en,Machiya
実籾,ja,実籾
実籾,en,Mimomi
成田空港,ja,成田空港
成田空港,en,Narita Airport Terminal 1
空港第２ビル,ja,空港第２ビル
空港第２ビル,en,Narita Airport Terminal 2 and 3
日暮里,ja,日暮里
日暮里,en,Nippori
お花茶屋,ja,お花茶屋
お花茶屋,en,Ohanajaya
高松,ja,高松
高松,en,Takamatsu
鬼越,ja,鬼越
鬼越,en,Onigoe
大佐倉,ja,大佐倉
大佐倉,en,Osakura
千住大橋,ja,千住大橋
千住大橋,en,Senjuohashi
新三河島,ja,新三河島
新三河島,en,Shim-Mikawashima
志津,ja,志津
志津,en,Shizu
宗吾参道,ja,宗吾参道
宗吾参道,en,Sogosando
菅野,ja,菅野
菅野,en,Sugano
八千代台,ja,八千代台
八千代台,en,Yachiyodai
谷津,ja,谷津
谷津,en,Yatsu
ユーカリが丘,ja,ユーカリが丘
ユーカリが丘,en,Yukarigaoka
河口湖,ja,河口湖
河口湖,en,Kawaguchiko
千葉ニュータウン中央,ja,千葉ニュータウン中央
千葉ニュータウン中央,en,Chiba New Town Chuo
東松戸,ja,東松戸
東松戸,en,Higashi-Matsudo
印旛日本医大,ja,印旛日本医大
印旛日本医大,en,Imba-Nihon-Idai
成田湯川,ja,成田湯川
成田湯川,en,Narita-Yukawa
伊豆高原,ja,伊豆高原
伊豆高原,en,Izukogen
浦和美園,ja,浦和美園
浦和美園,en,Urawa-Misono
芝山千代田,ja,芝山千代田
芝山千代田,en,Shibayama-Chiyoda
松戸,ja,松戸
松戸,en,Matsudo
新鎌ヶ谷,ja,新鎌ヶ谷
新鎌ヶ谷,en,Shin-kamagaya
大洗,ja,大洗
大洗,en,Oarai
京成曳舟,ja,京成曳舟
京成曳舟,en,Keisei-Hikifune
京成立石,ja,京成立石
京成立石,en,Keisei-Tateishi
押上(スカイツリー前),ja,押上(スカイツリー前)
押上(スカイツリー前),en,Oshiage
八広,ja,八広
八広,en,Yahiro
四ツ木,ja,四ツ木
四ツ木,en,Yotsugi
福居,ja,福居
福居,en,Fukui
剛志,ja,剛志
剛志,en,Goshi
花崎,ja,花崎
花崎,en,Hanasaki
羽生,ja,羽生
羽生,en,Hanyu
細谷,ja,細谷
細谷,en,Hosoya
春日居町,ja,春日居町
春日居町,en,Kasugaicho
日野春,ja,日野春
日野春,en,Hinoharu
川俣,ja,川俣
川俣,en,Kawamata
加須,ja,加須
加須,en,Kazo
木崎,ja,木崎
木崎,en,Kizaki
久喜,ja,久喜
久喜,en,Kuki
南羽生,ja,南羽生
南羽生,en,Minami-hanyu
茂林寺前,ja,茂林寺前
茂林寺前,en,Morinjimae
韮川,ja,韮川
韮川,en,Niragawa
太田,ja,太田
太田,en,Ota
境町,ja,境町
境町,en,Sakaimachi
世良田,ja,世良田
世良田,en,Serada
新伊勢崎,ja,新伊勢崎
新伊勢崎,en,Shin-isesaki
多々良,ja,多々良
多々良,en,Tatara
館林,ja,館林
館林,en,Tatebayashi
東武動物公園,ja,東武動物公園
東武動物公園,en,Tobu-dobutsu-koen
東武和泉,ja,東武和泉
東武和泉,en,Tobu-izumi
和戸,ja,和戸
和戸,en,Wado
鷲宮,ja,鷲宮
鷲宮,en,Washinomiya
