route_long_name,trip_headsign,arrival_time
南北線,浦和美園,00:02:00
山手線,外回り・品川,00:04:00
山手線,外回り・品川,00:09:00
山手線,外回り・品川,00:16:00
山手線,外回り・池袋,00:28:00
南北線,奥沢,00:42:00
山手線,外回り・池袋,00:46:00
山手線,内回り,01:12:00
山手線,外回り,04:31:00
山手線,外回り,04:50:00
山手線,内回り,04:54:00
山手線,外回り,05:09:00
三田線,西高島平,05:12:00
山手線,内回り,05:14:00
南北線,日吉,05:14:00
山手線,外回り,05:23:00
三田線,日吉,05:25:00
三田線,西高島平,05:25:00
山手線,外回り,05:29:00
山手線,内回り,05:31:00
山手線,外回り,05:37:00
南北線,浦和美園,05:38:00
南北線,日吉,05:40:00
山手線,外回り,05:44:00
南北線,浦和美園,05:47:00
三田線,日吉,05:48:00
山手線,内回り,05:49:00
山手線,外回り,05:50:00
三田線,西高島平,05:52:00
山手線,外回り,05:55:00
南北線,日吉,05:55:00
山手線,外回り,06:00:00
南北線,浦和美園,06:00:00
山手線,内回り,06:01:00
三田線,西高島平,06:03:00
三田線,日吉,06:04:00
山手線,外回り,06:05:00
南北線,浦和美園,06:09:00
山手線,内回り,06:10:00
山手線,外回り,06:11:00
南北線,日吉,06:13:00
山手線,外回り,06:16:00
山手線,内回り,06:19:00
三田線,西高島平,06:19:00
山手線,外回り,06:21:00
南北線,浦和美園,06:22:00
南北線,日吉,06:23:00
山手線,内回り,06:24:00
三田線,日吉,06:26:00
山手線,外回り,06:27:00
南北線,浦和美園,06:29:00
山手線,外回り,06:31:00
山手線,内回り,06:32:00
山手線,外回り,06:34:00
南北線,日吉,06:34:00
山手線,外回り,06:38:00
山手線,内回り,06:39:00
南北線,浦和美園,06:39:00
三田線,日吉,06:40:00
山手線,外回り,06:42:00
山手線,内回り,06:43:00
山手線,外回り,06:46:00
山手線,内回り,06:47:00
南北線,日吉,06:47:00
南北線,浦和美園,06:48:00
山手線,外回り,06:49:00
三田線,西高島平,06:51:00
山手線,内回り,06:52:00
山手線,外回り,06:52:00
三田線,日吉,06:52:00
山手線,外回り,06:55:00
三田線,西高島平,06:55:00
南北線,日吉,06:55:00
山手線,内回り,06:57:00
山手線,外回り,06:58:00
南北線,浦和美園,06:59:00
山手線,内回り,07:01:00
三田線,日吉,07:01:00
山手線,外回り,07:02:00
山手線,内回り,07:04:00
山手線,外回り,07:04:00
三田線,西高島平,07:04:00
南北線,日吉,07:04:00
山手線,外回り,07:07:00
三田線,日吉,07:07:00
山手線,内回り,07:08:00
南北線,浦和美園,07:09:00
山手線,外回り,07:10:00
山手線,内回り,07:11:00
三田線,日吉,07:12:00
山手線,外回り,07:13:00
三田線,西高島平,07:13:00
山手線,内回り,07:14:00
南北線,日吉,07:15:00
山手線,外回り,07:16:00
南北線,浦和美園,07:16:00
三田線,日吉,07:18:00
山手線,内回り,07:19:00
山手線,外回り,07:19:00
三田線,西高島平,07:20:00
南北線,日吉,07:21:00
山手線,内回り,07:22:00
山手線,外回り,07:22:00
南北線,浦和美園,07:22:00
山手線,外回り,07:24:00
三田線,日吉,07:24:00
山手線,内回り,07:25:00
三田線,西高島平,07:25:00
山手線,外回り,07:27:00
三田線,日吉,07:27:00
山手線,内回り,07:29:00
南北線,浦和美園,07:29:00
南北線,日吉,07:29:00
山手線,外回り,07:30:00
三田線,西高島平,07:31:00
山手線,内回り,07:32:00
三田線,日吉,07:32:00
山手線,外回り,07:33:00
南北線,鳩ヶ谷,07:34:00
山手線,内回り,07:35:00
山手線,外回り,07:36:00
南北線,日吉,07:36:00
三田線,西高島平,07:37:00
山手線,内回り,07:38:00
三田線,日吉,07:38:00
山手線,外回り,07:39:00
南北線,浦和美園,07:40:00
山手線,内回り,07:41:00
山手線,外回り,07:42:00
三田線,日吉,07:42:00
山手線,内回り,07:43:00
三田線,西高島平,07:43:00
南北線,日吉,07:44:00
山手線,外回り,07:45:00
山手線,内回り,07:46:00
南北線,浦和美園,07:46:00
三田線,日吉,07:47:00
山手線,外回り,07:48:00
三田線,西高島平,07:48:00
山手線,内回り,07:49:00
山手線,外回り,07:50:00
南北線,日吉,07:50:00
南北線,鳩ヶ谷,07:51:00
山手線,内回り,07:52:00
山手線,外回り,07:53:00
南北線,浦和美園,07:54:00
南北線,日吉,07:54:00
山手線,内回り,07:55:00
山手線,外回り,07:56:00
三田線,西高島平,07:56:00
三田線,日吉,07:56:00
山手線,内回り,07:57:00
山手線,外回り,07:59:00
南北線,浦和美園,07:59:00
