route_long_name,trip_headsign,arrival_time
南北線,駒込,00:02:00
山手線,外回り・品川,00:06:00
山手線,外回り・池袋,00:11:00
山手線,外回り・品川,00:16:00
山手線,外回り・池袋,00:28:00
南北線,奥沢,00:41:00
山手線,外回り・池袋,00:46:00
山手線,内回り,01:12:00
山手線,外回り,04:31:00
山手線,外回り,04:50:00
山手線,内回り,04:54:00
山手線,外回り,05:09:00
三田線,西高島平,05:12:00
山手線,内回り,05:14:00
南北線,日吉,05:14:00
山手線,外回り,05:23:00
三田線,日吉,05:25:00
三田線,西高島平,05:25:00
山手線,内回り,05:31:00
山手線,外回り,05:37:00
南北線,浦和美園,05:38:00
南北線,日吉,05:40:00
山手線,外回り,05:47:00
南北線,浦和美園,05:47:00
山手線,内回り,05:48:00
三田線,日吉,05:48:00
三田線,西高島平,05:51:00
南北線,日吉,05:55:00
山手線,外回り,05:56:00
山手線,内回り,06:00:00
三田線,西高島平,06:00:00
三田線,日吉,06:03:00
山手線,外回り,06:05:00
山手線,内回り,06:10:00
南北線,浦和美園,06:10:00
南北線,日吉,06:13:00
山手線,外回り,06:14:00
山手線,内回り,06:19:00
南北線,浦和美園,06:19:00
山手線,外回り,06:21:00
南北線,日吉,06:24:00
山手線,内回り,06:28:00
山手線,外回り,06:28:00
三田線,西高島平,06:30:00
三田線,日吉,06:33:00
山手線,内回り,06:36:00
山手線,外回り,06:36:00
三田線,西高島平,06:39:00
三田線,日吉,06:41:00
山手線,外回り,06:42:00
山手線,内回り,06:45:00
山手線,外回り,06:47:00
南北線,浦和美園,06:47:00
南北線,日吉,06:47:00
山手線,外回り,06:52:00
山手線,内回り,06:53:00
三田線,西高島平,06:54:00
南北線,日吉,06:54:00
山手線,外回り,06:57:00
山手線,内回り,06:59:00
南北線,浦和美園,07:00:00
三田線,日吉,07:01:00
山手線,外回り,07:02:00
山手線,内回り,07:05:00
山手線,外回り,07:07:00
南北線,浦和美園,07:07:00
南北線,日吉,07:08:00
山手線,内回り,07:12:00
山手線,外回り,07:12:00
三田線,日吉,07:15:00
三田線,西高島平,07:15:00
山手線,内回り,07:17:00
山手線,外回り,07:17:00
山手線,外回り,07:21:00
三田線,西高島平,07:21:00
山手線,内回り,07:24:00
三田線,日吉,07:25:00
山手線,外回り,07:27:00
三田線,西高島平,07:27:00
山手線,内回り,07:29:00
三田線,日吉,07:30:00
山手線,外回り,07:33:00
南北線,鳩ヶ谷,07:33:00
山手線,内回り,07:34:00
南北線,日吉,07:34:00
山手線,外回り,07:37:00
山手線,内回り,07:39:00
南北線,浦和美園,07:39:00
三田線,日吉,07:41:00
山手線,外回り,07:42:00
山手線,内回り,07:43:00
三田線,西高島平,07:44:00
南北線,日吉,07:46:00
山手線,内回り,07:47:00
南北線,鳩ヶ谷,07:47:00
山手線,外回り,07:48:00
南北線,浦和美園,07:50:00
山手線,内回り,07:51:00
三田線,日吉,07:51:00
山手線,外回り,07:53:00
山手線,内回り,07:55:00
三田線,西高島平,07:55:00
南北線,日吉,07:55:00
山手線,外回り,07:58:00
山手線,内回り,07:59:00
三田線,日吉,07:59:00
南北線,浦和美園,07:59:00
山手線,外回り,08:03:00
南北線,日吉,08:03:00
南北線,浦和美園,08:04:00
山手線,内回り,08:05:00
